bedrooms,bathrooms,sqft_living,sqft_lot,floors,grade,condition,zipcode,lat,long,sqft_living15,sqft_lot15,price
5,2.3,2117,2129,3.0,13,3,98001,47.685233,-122.056601,1688,2717,781414.0
4,3.1,2383,3885,3.0,13,3,98005,47.659166,-122.227096,2305,3734,835046.0
5,1.8,4088,5022,1.0,7,4,98002,47.6228,-122.20809,4295,4529,1049323.0
3,1.5,1468,6813,2.0,8,3,98005,47.591746,-122.384239,1107,8644,506737.0
2,3.2,2601,10096,1.5,10,4,98004,47.649548,-122.494168,2210,11257,756294.0
6,2.7,2538,10068,3.0,8,4,98006,47.496745,-122.338914,2421,8899,811485.0
1,3.2,1892,2958,3.0,5,2,98002,47.615321,-122.3841,1920,3419,573993.0
3,3.9,4010,4180,2.0,6,3,98002,47.340429,-122.125189,3235,3040,962318.0
5,1.9,4466,3068,2.5,4,1,98005,47.329134,-122.262771,4034,3924,1046888.0
4,1.3,867,7565,2.5,4,5,98006,47.582464,-122.458964,966,9603,399693.0
2,1.4,3731,7818,3.0,12,5,98002,47.638687,-122.321773,4323,6867,1012147.0
4,1.9,3143,1986,3.0,4,2,98006,47.282946,-122.153743,2579,1597,780981.0
2,1.0,2445,10729,2.5,7,1,98002,47.331506,-122.380369,2779,7968,648025.0
3,3.4,3160,10663,1.5,9,1,98005,47.29163,-122.460606,2747,8374,825855.0
2,3.4,3037,10325,2.0,10,1,98004,47.583867,-122.13016,3566,10327,854650.0
4,1.2,763,8078,2.0,12,3,98001,47.207536,-121.972853,859,8442,448377.0
6,3.5,2960,1659,1.5,10,5,98006,47.428605,-122.383106,3547,1595,976609.0
4,3.9,2525,6700,2.5,8,3,98006,47.215898,-122.453505,2361,6681,803485.0
4,3.4,2853,1601,2.5,4,3,98003,47.353662,-121.967889,2658,1615,761518.0
6,3.6,2492,7770,1.0,6,5,98003,47.542259,-122.250904,2364,5679,783329.0
5,1.4,1779,8178,2.5,4,1,98006,47.533589,-122.406422,1461,8427,576160.0
4,1.3,4046,2858,2.5,4,2,98004,47.737571,-122.374883,4318,2713,976611.0
4,1.7,2857,3369,2.5,6,5,98005,47.620164,-122.468095,2232,3920,817881.0
4,2.0,3826,9318,2.0,3,3,98006,47.33809,-122.197837,4589,9260,930277.0
4,2.6,2013,6446,3.0,11,4,98004,47.737697,-122.028239,2398,5435,729841.0
2,3.6,2282,1715,2.0,10,4,98004,47.772701,-122.074564,2381,1357,701745.0
2,2.5,3017,6439,1.0,10,1,98005,47.723578,-122.540791,2458,7872,780317.0
1,2.4,1685,6546,3.0,9,1,98003,47.686975,-122.034395,1551,5825,565859.0
4,3.6,747,11116,1.0,6,3,98002,47.620463,-122.289617,593,12008,456079.0
1,2.3,3442,5906,1.0,3,3,98001,47.334822,-122.325095,2806,6016,783218.0
6,3.4,1296,3868,1.0,12,4,98005,47.580375,-122.2514,1312,3246,660791.0
3,2.4,3331,1153,2.5,7,5,98002,47.196533,-121.982859,3978,1014,906884.0
6,1.8,4062,5949,1.5,9,4,98001,47.29944,-122.206846,4097,7707,1082149.0
1,3.9,3296,7484,2.0,3,5,98006,47.640336,-121.965838,3822,8584,856410.0
3,3.3,1542,10946,2.0,6,2,98005,47.307895,-122.096654,1689,12133,534422.0
6,1.3,3170,11589,1.0,7,4,98001,47.515131,-122.110584,2506,10164,890386.0
4,1.5,1141,9837,2.0,11,5,98003,47.673198,-122.395818,1279,9729,575418.0
3,3.2,1987,2886,2.5,4,2,98002,47.691889,-122.11547,2366,3695,641682.0
5,2.1,3838,7464,1.0,7,5,98001,47.436515,-122.146303,4039,7842,1039368.0
6,3.8,1043,4830,2.5,3,5,98005,47.356644,-122.183951,1086,5222,525875.0
6,1.9,2272,2911,1.5,3,1,98003,47.777434,-122.480328,1944,2976,662610.0
4,2.1,4488,9850,2.5,12,2,98004,47.562601,-122.049784,4609,12444,1154186.0
1,3.1,1489,8264,2.5,6,3,98001,47.767984,-122.329599,1720,8982,484549.0
4,1.8,1100,8450,1.0,13,2,98006,47.552881,-121.967344,850,7605,511812.0
5,1.6,3998,10080,1.5,12,2,98002,47.356993,-122.461467,4618,7073,1109382.0
2,4.0,2812,5106,1.5,4,1,98002,47.159362,-122.076009,2410,4566,702249.0
3,1.2,3638,7897,3.0,4,1,98004,47.432413,-122.332777,3700,7669,854453.0
5,1.1,3808,11795,3.0,7,4,98006,47.757336,-122.513505,3676,11098,1009310.0
1,2.5,4326,8267,1.0,4,3,98005,47.24345,-122.474285,4459,8690,987772.0
3,2.1,3046,9692,2.0,10,5,98005,47.421026,-122.074142,2441,10591,882924.0
5,3.2,1480,8046,2.5,6,4,98003,47.671274,-122.310762,1595,7141,590296.0
6,1.8,1225,8770,1.0,4,1,98001,47.422082,-122.103247,1124,6823,459761.0
5,3.9,2900,6400,1.0,9,3,98006,47.742912,-122.296238,3370,4677,879354.0
5,1.9,1024,10468,3.0,6,2,98006,47.453779,-122.041635,929,10821,461380.0
3,2.7,3906,8030,3.0,12,5,98006,47.5549,-122.534248,4562,9617,1073981.0
1,1.5,3478,6062,2.0,8,1,98002,47.698014,-122.210207,3235,4759,842654.0
1,1.3,2772,4524,2.5,9,4,98003,47.249168,-122.363018,2483,5722,751255.0
1,3.7,1237,3579,3.0,3,1,98003,47.429161,-122.295591,1265,3394,407467.0
5,1.3,2360,2816,2.0,13,5,98004,47.481968,-122.364948,2004,3634,777826.0
1,1.6,4472,4460,1.5,7,3,98003,47.22559,-122.251569,4220,3467,1014727.0
6,1.7,2888,11945,2.0,4,4,98006,47.17665,-122.538755,3363,14540,845437.0
4,2.7,3506,11488,2.5,7,1,98004,47.16314,-122.355139,3893,12302,959910.0
6,3.8,960,8155,1.0,6,4,98005,47.402283,-122.502812,1096,9357,514474.0
3,3.3,912,9363,1.0,11,5,98002,47.720731,-122.340375,982,11154,536306.0
2,1.7,1199,5193,1.5,5,5,98002,47.628936,-122.156695,994,6043,441477.0
4,3.3,3712,10494,2.5,13,5,98006,47.550238,-122.175287,4227,11295,1066030.0
4,1.2,2411,11344,2.0,7,5,98001,47.371724,-122.505486,2309,8196,709849.0
3,1.2,4139,2479,3.0,12,5,98004,47.441508,-122.21741,4579,3067,1094669.0
5,3.0,1916,10912,2.5,11,2,98001,47.43383,-122.06342,2158,14070,707422.0
5,2.9,760,5059,2.5,10,5,98005,47.534177,-122.331661,883,4717,542496.0
3,3.0,814,11336,2.0,4,3,98001,47.501517,-122.318061,702,13727,427050.0
5,3.6,1965,2335,3.0,13,2,98003,47.345446,-122.156367,2059,1815,785114.0
1,1.9,2142,11542,2.0,5,5,98001,47.556996,-122.295956,1955,10590,573244.0
2,2.0,3738,8967,1.5,6,2,98002,47.198614,-122.043343,2973,10424,904159.0
6,3.7,754,11845,2.0,12,2,98005,47.387334,-122.452652,847,13771,581568.0
2,3.2,778,7731,2.0,13,2,98004,47.534675,-122.098565,857,6497,457221.0
3,3.9,3812,8684,1.5,8,5,98004,47.440858,-122.380937,3514,8827,982016.0
2,3.4,1166,5096,1.0,13,4,98003,47.499361,-122.488446,1318,6169,544757.0
1,3.3,1717,8361,3.0,5,4,98001,47.74624,-122.416777,1636,7606,515522.0
4,1.2,2656,7126,1.5,9,1,98003,47.291459,-122.358789,2110,8043,740587.0
2,1.4,1775,8740,1.5,10,4,98005,47.153308,-122.502465,1535,10496,598028.0
6,2.8,2333,2821,2.0,6,3,98001,47.180082,-122.298105,2583,2748,739059.0
4,2.8,667,11353,3.0,12,2,98006,47.240453,-122.292457,684,9585,480749.0
2,3.0,950,9576,2.0,4,5,98005,47.469616,-121.957001,949,8946,412275.0
1,2.9,2129,5155,1.0,8,1,98003,47.301909,-122.155737,1696,5408,621240.0
3,1.4,2043,9945,2.0,13,2,98006,47.442712,-122.132766,2113,11803,671041.0
6,3.3,2474,1605,2.0,6,1,98002,47.708048,-122.360643,2200,1506,792110.0
5,2.4,749,11598,1.5,7,3,98001,47.695453,-122.350845,603,10679,472075.0
4,3.2,4264,7334,2.0,5,4,98006,47.46344,-121.995414,4194,8659,1080370.0
4,1.2,3067,3956,3.0,7,3,98001,47.200443,-122.153448,2723,4199,827421.0
2,3.1,2039,8325,1.0,8,5,98004,47.32297,-121.961984,2398,6202,665829.0
4,2.1,3881,3621,1.0,5,5,98006,47.642227,-122.529121,3028,4226,946072.0
3,2.1,2923,1530,3.0,5,4,98003,47.384368,-122.092149,2947,1557,785029.0
3,2.9,1622,2858,1.0,5,4,98005,47.393802,-122.212996,1407,2446,543057.0
2,4.0,1769,9047,1.5,4,2,98001,47.434787,-122.010793,1681,6809,559084.0
3,3.0,3506,2063,3.0,11,3,98003,47.686358,-122.122915,4092,2233,1010535.0
3,2.5,1097,4292,1.5,6,4,98001,47.377365,-122.206634,1053,5535,444500.0
5,3.7,869,6067,2.5,10,5,98004,47.634574,-122.055996,680,7786,563229.0
1,2.3,3385,9476,2.0,5,5,98006,47.520305,-122.089331,2735,9492,839981.0
1,3.5,2722,3507,2.0,5,2,98003,47.738885,-122.414718,3202,3546,709603.0
1,1.8,3201,10024,2.0,5,3,98005,47.486091,-122.248456,2643,12680,744997.0
2,3.0,3551,10914,2.0,12,1,98001,47.20117,-121.980872,3895,9372,937661.0
5,2.2,3217,1496,2.5,13,5,98003,47.554402,-122.368744,2767,1771,971323.0
3,2.4,3420,1981,1.5,10,4,98004,47.442599,-122.345884,2786,2410,905434.0
6,4.0,2014,7532,1.5,8,5,98005,47.216896,-122.404957,1621,7304,721721.0
1,1.2,4472,7293,3.0,9,2,98002,47.662491,-121.989749,4805,5935,1027711.0
4,4.0,2512,9171,2.0,10,1,98001,47.745497,-122.246733,2976,7603,799901.0
1,1.2,2627,10789,2.5,7,5,98001,47.683719,-122.291443,3013,12261,734564.0
4,2.1,2240,1838,3.0,11,2,98003,47.49853,-122.505881,2188,2129,732963.0
5,3.0,1086,3108,1.0,9,3,98003,47.501434,-122.330636,885,3299,531592.0
5,1.1,759,3245,2.0,10,5,98004,47.243833,-122.014121,616,4084,472898.0
2,2.2,3125,5902,3.0,8,5,98005,47.485374,-122.124756,2765,7020,835026.0
3,3.0,2306,10563,2.0,13,1,98005,47.448992,-121.969758,2541,12313,776060.0
2,3.2,2990,8871,1.5,11,5,98004,47.243099,-122.141564,2284,11256,827022.0
2,1.1,1884,7861,1.5,9,2,98004,47.466146,-122.183113,1812,9504,602077.0
1,3.1,2724,4397,3.0,8,4,98005,47.3874,-121.975989,2606,4484,764794.0
3,3.0,4153,11539,2.0,12,4,98002,47.753123,-122.382596,3672,14595,1083431.0
3,3.1,3427,9011,2.0,10,3,98005,47.738231,-122.072757,2991,6966,939663.0
5,2.1,2216,6654,1.5,7,1,98003,47.751848,-122.502582,2583,7276,723926.0
4,1.6,3991,9824,2.0,11,3,98002,47.218813,-122.105465,3422,7176,1059681.0
5,1.7,1553,1860,1.0,9,3,98006,47.447614,-122.141285,1260,2378,576401.0
4,3.0,4207,8793,2.5,13,2,98003,47.352336,-122.162461,4874,6627,1154179.0
2,2.6,3561,1611,1.5,9,2,98001,47.778218,-122.311803,3464,2033,935415.0
3,3.6,637,5888,3.0,12,1,98003,47.329274,-121.95654,633,5866,443960.0
5,2.4,1389,2845,2.0,5,4,98006,47.312077,-122.438281,1502,3341,563747.0
6,3.3,1318,11009,2.5,9,5,98003,47.204645,-122.148446,1098,8635,617249.0
2,1.0,2171,4858,2.5,7,3,98003,47.51695,-122.206274,1883,4448,602196.0
1,3.0,2506,6026,1.5,9,5,98006,47.635,-122.135826,2599,7619,726078.0
5,1.7,1147,8834,1.5,10,5,98003,47.411983,-122.220459,1103,9032,572128.0
2,3.3,3386,10761,1.0,11,4,98005,47.593373,-122.503138,3399,7931,924885.0
5,1.6,2798,3455,1.5,8,5,98004,47.223231,-122.426759,2832,2607,833541.0
4,3.4,2457,3161,3.0,9,4,98005,47.186374,-122.272573,2734,3584,800529.0
3,3.4,3654,4570,3.0,4,1,98004,47.367053,-122.511744,4375,5761,904050.0
4,1.1,2274,3948,1.5,13,4,98003,47.7755,-122.320512,2595,4911,763539.0
1,3.0,3310,9835,1.5,13,3,98001,47.262438,-122.227645,3270,11179,890732.0
1,3.3,1822,8585,3.0,9,5,98004,47.668717,-122.401493,1650,7429,642405.0
6,3.3,731,11816,2.5,12,1,98002,47.279831,-122.489462,559,12509,551656.0
1,1.7,781,7590,2.5,6,5,98002,47.625263,-122.084362,635,9837,352470.0
6,2.7,2965,10796,2.0,6,3,98002,47.770988,-122.237249,2775,9339,866721.0
5,3.6,4333,3869,2.5,11,4,98001,47.762543,-121.985048,4558,4532,1176629.0
6,2.2,1211,5913,2.5,5,5,98004,47.30181,-122.414793,1375,4651,552400.0
1,2.7,2306,10130,3.0,5,4,98002,47.310647,-122.351842,1811,9824,624611.0
1,2.6,3997,4120,1.0,7,4,98006,47.531131,-122.526271,3128,4873,940848.0
6,3.0,1488,8854,1.5,8,3,98001,47.283439,-122.435986,1612,10165,651647.0
4,3.7,3449,10902,1.5,9,2,98005,47.352617,-122.380164,3310,11874,941651.0
3,2.1,4215,9147,2.5,4,4,98003,47.726028,-122.327577,3946,9490,982812.0
6,1.4,1668,10065,3.0,12,4,98003,47.246019,-122.352081,1536,12078,703938.0
5,3.0,3405,6530,2.0,10,4,98004,47.255987,-122.073015,2813,7393,974428.0
2,3.8,2820,11515,1.0,11,1,98001,47.745469,-122.149071,3084,10909,839955.0
6,1.7,3496,3474,1.0,6,5,98004,47.385116,-122.179299,3670,3716,958281.0
6,2.5,627,9719,3.0,9,1,98001,47.483533,-122.385156,746,6903,495144.0
6,3.0,3902,3937,1.0,4,5,98002,47.30181,-122.178131,3369,3593,1030743.0
4,1.2,2263,8520,3.0,6,2,98003,47.580946,-122.04128,2362,10351,700107.0
1,1.3,2153,7179,3.0,10,1,98006,47.155954,-122.44717,2099,6894,651024.0
3,2.7,4114,2562,3.0,3,2,98002,47.717802,-122.134627,4134,2210,949388.0
6,3.8,4283,9897,3.0,13,1,98002,47.735123,-122.361309,5065,10413,1242721.0
6,3.5,4404,2260,2.0,5,5,98002,47.507018,-122.040335,4644,2315,1143785.0
6,1.4,3423,2284,3.0,8,1,98001,47.425366,-122.046795,3091,2652,948559.0
4,3.9,1936,1485,2.0,10,4,98002,47.374161,-121.985314,1828,1645,724997.0
4,1.3,3133,5839,1.5,4,1,98003,47.247159,-122.122994,3243,6678,783171.0
3,1.3,621,6050,2.5,8,3,98001,47.233479,-122.437565,591,6248,380917.0
1,1.1,2049,10080,1.0,12,5,98003,47.694142,-122.542596,1918,11768,660574.0
5,3.7,1594,10370,3.0,5,4,98002,47.237469,-122.369321,1549,7652,612045.0
3,2.3,2583,2260,2.0,7,2,98006,47.543771,-122.193716,2164,1727,710365.0
1,3.8,1960,11161,2.5,8,4,98003,47.421288,-122.055879,2044,11793,624403.0
3,2.8,3447,4290,2.5,8,2,98004,47.760297,-122.375131,3663,4266,925252.0
2,2.0,1748,7437,2.0,4,5,98002,47.523103,-122.222623,1847,7660,559519.0
4,3.8,1458,8183,2.0,4,4,98006,47.464561,-122.169998,1252,8962,568221.0
4,3.4,902,8357,3.0,10,5,98004,47.486651,-121.995903,1029,7947,510524.0
3,3.1,3927,9796,3.0,13,1,98001,47.634441,-122.155439,3572,10660,1026466.0
5,4.0,3374,11596,2.5,8,4,98001,47.156645,-122.394757,3305,11726,983549.0
6,2.7,2425,7129,2.5,10,5,98006,47.465293,-122.34302,1845,5437,817177.0
1,1.3,4453,3321,2.0,7,3,98004,47.64409,-122.237331,4037,2519,1019552.0
6,2.4,875,5919,1.0,4,1,98003,47.558221,-122.143716,720,7637,425296.0
5,1.5,1255,6422,3.0,9,4,98002,47.652586,-122.172144,1046,7028,561611.0
1,3.2,4217,4232,2.5,12,4,98004,47.152804,-122.421122,3690,4749,1085586.0
1,2.7,3874,9796,1.5,8,3,98002,47.438257,-122.392588,4409,9958,966603.0
3,2.8,3103,7431,3.0,4,3,98003,47.682676,-122.179582,3463,8349,813919.0
5,2.8,3352,3194,2.0,4,2,98003,47.223678,-122.326016,2727,2980,879444.0
2,2.7,2332,4043,2.5,13,5,98006,47.729071,-121.991583,1930,3234,746321.0
2,1.6,4048,8389,3.0,3,3,98001,47.455304,-122.432923,3735,8698,934582.0
4,2.2,2614,7809,2.5,10,2,98001,47.506201,-122.072471,2219,5619,768050.0
5,1.9,3797,8492,3.0,10,5,98005,47.221323,-122.481476,4172,10139,1060221.0
5,3.5,770,8231,3.0,6,4,98001,47.613673,-122.157797,663,10082,453389.0
4,1.8,4131,2425,2.5,4,2,98002,47.660743,-122.197246,3750,2731,994536.0
4,1.5,1170,4385,1.5,3,5,98003,47.485337,-122.191885,966,5645,440648.0
3,2.7,4114,9428,1.0,5,4,98001,47.775266,-122.029771,3320,11498,965222.0
2,3.1,3993,5055,2.5,10,2,98005,47.548413,-122.173312,3668,3767,1029063.0
1,2.2,3671,5558,2.0,10,4,98003,47.516632,-122.028655,4152,4201,940985.0
6,3.0,2067,2037,3.0,9,2,98004,47.669654,-122.253171,1850,1772,749573.0
5,1.4,4091,8951,2.0,13,1,98001,47.212732,-122.079666,3914,6932,1114074.0
2,2.3,602,8009,1.5,5,3,98002,47.700887,-122.024043,500,7338,302769.0
3,3.0,3257,3711,1.0,9,3,98006,47.590648,-122.409514,3403,4164,861787.0
2,2.4,1143,10726,1.5,11,4,98001,47.155079,-122.343856,919,13045,523712.0
2,2.4,1537,7276,1.0,4,1,98003,47.381564,-122.370447,1417,8644,497957.0
2,2.9,3373,3340,1.0,11,5,98001,47.534501,-122.45153,3062,2764,931701.0
2,3.8,3123,8248,1.5,4,1,98002,47.624041,-122.196256,2881,10540,773685.0
